date,e2,v1,proportion,proportion_se,proportion_deff,n,unw_prop
2021-02-03,Town,Yes,0.0609359466292578,0.017793439899357097,2.4842757489111795,28,0.012126461671719359
2021-02-03,Town,No,0.9390640533707422,0.017793439899357097,2.4842757489111795,422,0.18276310090948464
2021-02-03,Village or rural area,Yes,0.07783965544169229,0.016985602973034405,2.3312324935763846,36,0.015591165006496318
2021-02-03,Village or rural area,No,0.9221603445583076,0.016985602973034405,2.3312324935763846,545,0.2360329146816804
2021-02-04,City,Yes,0.059889338925274864,0.010318406908338466,2.0612246104797074,71,0.03604060913705584
2021-02-04,City,No,0.9401106610747251,0.010318406908338464,2.0612246104797074,1020,0.5177664974619289
2021-02-04,Town,Yes,0.09174747940272591,0.0237726097203863,2.6246172619615082,32,0.016243654822335026
2021-02-04,Town,No,0.908252520597274,0.023772609720386296,2.6246172619615082,356,0.18071065989847715
2021-02-04,Village or rural area,Yes,0.04136820140215898,0.008814430514291835,0.9599944097562383,34,0.017258883248730966
2021-02-04,Village or rural area,No,0.958631798597841,0.008814430514291835,0.9599944097562385,457,0.2319796954314721
2021-02-05,City,Yes,0.07721629993095723,0.011987399976592858,2.000574139210927,88,0.048807542983915694
2021-02-05,City,No,0.9227837000690428,0.011987399976592858,2.000574139210927,905,0.5019412090959512
2021-02-05,Town,Yes,0.0870793995308809,0.032289983353552244,4.8003212381103495,26,0.014420410427066
2021-02-05,Town,No,0.912920600469119,0.032289983353552244,4.8003212381103495,341,0.18912922906267332
2021-02-05,Village or rural area,Yes,0.06514139843573748,0.014926896302678955,1.617187931395569,35,0.019412090959511925
2021-02-05,Village or rural area,No,0.9348586015642625,0.014926896302678957,1.6171879313955695,408,0.22628951747088186
2021-02-06,City,Yes,0.08702755031825095,0.01689623434084942,3.5248132772291014,64,0.03524229074889868
2021-02-06,City,No,0.9129724496817491,0.01689623434084942,3.5248132772291014,918,0.5055066079295154
2021-02-06,Town,Yes,0.06983957719154127,0.01881277263208215,2.162911375301448,32,0.01762114537444934
2021-02-06,Town,No,0.9301604228084587,0.018812772632082145,2.1629113753014475,366,0.20154185022026433
2021-02-06,Village or rural area,Yes,0.07772871157356374,0.023867755709308446,3.4568037857010987,32,0.01762114537444934
2021-02-06,Village or rural area,No,0.9222712884264362,0.023867755709308446,3.4568037857010987,404,0.22246696035242292
2021-02-07,City,Yes,0.07668920771045272,0.015881790269781596,3.4838335377557184,80,0.045662100456621
2021-02-07,City,No,0.9233107922895473,0.0158817902697816,3.4838335377557192,899,0.5131278538812786
2021-02-07,Town,Yes,0.05591890522160297,0.017323807393043497,1.893060926388259,26,0.014840182648401826
2021-02-07,Town,No,0.9440810947783971,0.017323807393043497,1.8930609263882585,308,0.17579908675799086
2021-02-07,Village or rural area,Yes,0.07942402448915226,0.01836065679447035,2.0194888283758954,35,0.01997716894977169
2021-02-07,Village or rural area,No,0.9205759755108478,0.018360656794470347,2.019488828375896,404,0.23059360730593606
2021-02-08,City,Yes,0.054140795962265585,0.012942655599971622,3.0683181352142888,49,0.029376498800959234
